# Agri-Monitor v5 data log
# study_id: TST1234
# operator: DAKS
# crop: Eng. Cucumber
# location: V
# planting: 2026-06-08
epoch_unix,uptime_ms,slot,plot_id,treatment,replicate,block,depth_cm,temp_c_x10,moist_pct_x10,moist_calib_x10,rssi_neg,flags,seq,temp_alert,moist_alert,sleep_interval_s
1780851632,1216688,3,p3,1,1,1,20,292,232,232,78,0,16724,,,300
1780851932,1516960,3,p3,1,1,1,20,293,232,232,78,0,16725,,,300
1780852232,1817236,3,p3,1,1,1,20,292,232,232,78,0,16726,,,300
1780852533,2117509,3,p3,1,1,1,20,293,232,232,78,0,16727,,,300
1780852833,2418003,3,p3,1,1,1,20,293,232,232,77,0,16728,,,300
1780853133,2718278,3,p3,1,1,1,20,293,232,232,79,0,16729,,,300
1780853434,3018554,3,p3,1,1,1,20,292,231,231,77,0,16730,,,300
1780905332,11176415,2,P2,1,1,1,20,294,219,219,58,0,16900,,,300
1780905386,11231294,2,P2,1,1,1,20,294,219,219,61,0,16900,,,300
1780905389,11233562,1,P1,0,1,1,20,308,261,261,52,0,9050,,,300
1780905406,11250967,3,p3,1,1,1,20,300,228,228,55,0,16700,,,300
1780905687,11531568,2,P2,1,1,1,20,295,221,221,54,0,16901,,,300
1780905689,11533836,1,P1,0,1,1,20,308,261,261,50,0,9051,,,300
1780905707,11551581,3,p3,1,1,1,20,301,229,229,60,0,16701,,,300
1780924897,261764,2,P2,1,1,1,20,284,215,215,83,0,16900,,,300
1780924906,270714,1,P1,0,1,1,20,287,256,256,80,0,9050,,,300
1780925197,562206,2,P2,1,1,1,20,284,216,216,82,0,16901,,,300
1780925206,571051,1,P1,0,1,1,20,288,257,257,81,0,9051,,,300
1780925498,862591,2,P2,1,1,1,20,285,216,216,87,0,16902,,,300
1780925507,871424,1,P1,0,1,1,20,288,257,257,84,0,9052,,,300
1780925798,1162906,2,P2,1,1,1,20,285,217,217,82,0,16903,,,300
1780925807,1171697,1,P1,0,1,1,20,289,257,257,81,0,9053,,,300
1780926214,18991,1,P1,0,1,1,20,301,254,254,81,0,9252,,,300
1780926240,45059,2,P2,1,1,1,20,292,214,214,74,0,17100,,,300
1780926509,73344,3,p3,1,1,1,20,296,223,223,81,0,16904,,,300
1780926533,97293,1,P1,0,1,1,20,301,254,254,81,0,9254,,,300
1780926559,123498,2,P2,1,1,1,20,293,214,214,80,0,17102,,,300
1780926809,373624,3,p3,1,1,1,20,297,223,223,83,0,16905,,,300
1780926833,397567,1,P1,0,1,1,20,301,252,252,82,0,9255,,,300
1780926859,423772,2,P2,1,1,1,20,293,214,214,83,0,17103,,,300
1780927133,697842,1,P1,0,1,1,20,302,253,253,83,0,9256,,,300
1780927159,724226,2,P2,1,1,1,20,293,214,214,82,0,17104,,,300
1780927410,974406,3,p3,1,1,1,20,297,223,223,84,0,16907,,,300
1780927433,998115,1,P1,0,1,1,20,302,253,253,82,0,9257,,,300
1780927460,1024580,2,P2,1,1,1,20,293,214,214,82,0,17105,,,300
1780927734,1298389,1,P1,0,1,1,20,302,253,253,83,0,9258,,,300
1780927760,1324855,2,P2,1,1,1,20,293,214,214,79,0,17106,,,300
1780928010,1575185,3,p3,1,1,1,20,297,223,223,84,0,16909,,,300
1780928034,1598675,1,P1,0,1,1,20,302,253,253,82,0,9259,,,300
1780928060,1625128,2,P2,1,1,1,20,294,214,214,82,0,17107,,,300
1780928334,1899110,1,P1,0,1,1,20,302,253,253,81,0,9260,,,300
1780928361,1925404,2,P2,1,1,1,20,293,214,214,80,0,17108,,,300
1780928611,2176025,3,p3,1,1,1,20,298,223,223,83,0,16911,,,300
1780928635,2199384,1,P1,0,1,1,20,303,253,253,81,0,9261,,,300
1780928661,2225678,2,P2,1,1,1,20,294,214,214,83,0,17109,,,300
1780928912,2476482,3,p3,1,1,1,20,298,223,223,82,0,16912,,,300
1780928935,2499681,1,P1,0,1,1,20,303,253,253,83,0,9262,,,300
1780928961,2526013,2,P2,1,1,1,20,294,214,214,81,0,17110,,,300
1780929212,2776884,3,p3,1,1,1,20,298,223,223,83,0,16913,,,300
1780929562,3126791,2,P2,1,1,1,20,294,214,214,82,0,17112,,,300
1780929813,3377664,3,p3,1,1,1,20,298,223,223,83,0,16915,,,300
1780929836,3400967,1,P1,0,1,1,20,305,253,253,82,0,9265,,,300
1780929862,3427064,2,P2,1,1,1,20,294,214,214,82,0,17113,,,300
1780930113,3678048,3,p3,1,1,1,20,299,223,223,82,0,16916,,,300
1780930136,3701247,1,P1,0,1,1,20,305,253,253,81,0,9266,,,300
1780930163,3727341,2,P2,1,1,1,20,295,214,214,82,0,17114,,,300
1780930414,3978324,3,p3,1,1,1,20,299,223,223,85,0,16917,,,300
1780930437,4001576,1,P1,0,1,1,20,306,253,253,84,0,9267,,,300
1780930463,4027674,2,P2,1,1,1,20,295,214,214,83,0,17115,,,300
1780930737,4301852,1,P1,0,1,1,20,307,254,254,83,0,9268,,,300
1780930763,4328020,2,P2,1,1,1,20,295,214,214,82,0,17116,,,300
1780931064,4628514,2,P2,1,1,1,20,295,214,214,84,0,17117,,,300
1780931338,4902743,1,P1,0,1,1,20,308,254,254,82,0,9270,,,300
1780931638,5203196,1,P1,0,1,1,20,308,254,254,83,0,9271,,,300
1780931665,5229293,2,P2,1,1,1,20,296,214,214,82,0,17119,,,300
1780931916,5480672,3,p3,1,1,1,20,300,223,223,82,0,16922,,,300
1780931965,5529636,2,P2,1,1,1,20,296,215,215,81,0,17120,,,300
1780932239,5804174,1,P1,0,1,1,20,310,254,254,83,0,9273,,,300
1780932265,5829960,2,P2,1,1,1,20,296,215,215,82,0,17121,,,300
1780932540,6104644,1,P1,0,1,1,20,310,254,254,85,0,9274,,,300
1780932565,6130236,2,P2,1,1,1,20,296,214,214,82,0,17122,,,300
1780932840,6404918,1,P1,0,1,1,20,311,254,254,81,0,9275,,,300
1780932866,6430641,2,P2,1,1,1,20,296,214,214,80,0,17123,,,300
1780933140,6705216,1,P1,0,1,1,20,312,254,254,84,0,9276,,,300
